X,Y,recordnum,takenby,comments,setdate,setyear,mcd,route,road,cntdir,fromlmt,tolmt,type,latitude,longitude,factor,axle,outdir,indir,aadb,program,bikepedgroup,bikepedfacility,co_name,mun_name,id
-75.1537049999999,39.9506250000001,71285,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/21 00:00:00+00,2010,4210160103,,8th st,south,market st,chestnut st,Bicycle 1,39.950625,-75.153705,0.968,1.1797,,,402,Project,Low Volume,Mixed Traffic,Philadelphia,Central,4553
-75.1554599999999,39.9498,71286,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/02 00:00:00+00,2010,4210160103,,9th st,north,market st,chestnut st,Bicycle 1,39.9498,-75.15546,0.949,1.1797,,,293,Project,Mixed,Mixed Traffic,Philadelphia,Central,4554
-75.1799579999999,39.9555270000001,71869,jh,Seasonal factor are calculated from 2015 permanent station data.   Most cyclists on wide sidewalk,2011/04/28 00:00:00+00,2011,4210160110,3,john f kennedy blvd westbound lanes,west,schuylkill ave,23rd st,Bicycle 1,39.955527,-75.179958,0.962,1.1797,,,11,Screen Line,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,4627
-75.1802269999999,39.954421,71872,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/27 00:00:00+00,2010,4210160103,3,market st bridge eastbound lanes,east,schuylkill ave,23rd st,Bicycle 1,39.954421,-75.180227,1.001,1.1797,,,225,Screen Line,Mixed,Mixed Traffic,Philadelphia,Central,4671
-75.180345,39.9544950000001,71873,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/27 00:00:00+00,2010,4210160110,,market st bridge westbound lanes,west,schuylkill ave,23rd st,Bicycle 1,39.954495,-75.180345,1.001,1.1797,,,208,Screen Line,Mixed,Mixed Traffic,Philadelphia,University - Southwest,4672
-75.1569019999999,39.9507400000001,71287,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/09 00:00:00+00,2010,4210160103,,10th st,south,market st,chestnut st,Bicycle 1,39.95074,-75.156902,0.949,1.1797,,,426,Project,Mixed,Mixed Traffic,Philadelphia,Central,5007
-75.1561,39.95433,71288,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/09 00:00:00+00,2010,4210160103,,10th st,south,race st,arch st,Bicycle 1,39.95433,-75.1561,0.949,1.1797,,,383,Project,Mixed,Mixed Traffic,Philadelphia,Central,5008
-75.158039,39.9529200000001,71289,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/07 00:00:00+00,2010,4210160103,,11th st,north,arch st,market st,Bicycle 1,39.95292,-75.158039,0.968,1.1797,,,466,Project,Mixed,Mixed Traffic,Philadelphia,Central,5009
-75.163833,39.9592940000001,71290,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/09 00:00:00+00,2010,4210160103,,15th st,south,callowhill st,vine st,Bicycle 1,39.959294,-75.163833,0.949,1.1797,,,185,Screen Line,Mixed,Striped Shoulder,Philadelphia,Central,5010
-75.16448,39.9560700000001,71291,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/16 00:00:00+00,2010,4210160103,,15th st,south,cherry st,race st,Bicycle 1,39.95607,-75.16448,0.949,1.1797,,,360,Project,Mixed,Mixed Traffic,Philadelphia,Central,5011
-75.166086,39.948972,71292,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/16 00:00:00+00,2010,4210160103,,15th st,south,walnut st,locust st,Bicycle 1,39.948972,-75.166086,0.949,1.1797,,,662,Project,Mixed,Mixed Traffic,Philadelphia,Central,5012
-75.167449,39.950165,71293,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/16 00:00:00+00,2010,4210160103,,16th st,north,walnut st,sansom st,Bicycle 1,39.950165,-75.167449,0.949,1.1797,,,821,Project,Mixed,Mixed Traffic,Philadelphia,Central,5013
-75.1662679999999,39.955298,71294,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/16 00:00:00+00,2010,4210160103,,16th st,north,arch st,cherry st,Bicycle 1,39.955298,-75.166268,0.949,1.1797,,,243,Project,Low Volume,Mixed Traffic,Philadelphia,Central,5014
-75.179969,39.955387,71868,jh,Seasonal factor are calculated from 2015 permanent station data.   Most cyclists on wide sidewalk,2011/04/28 00:00:00+00,2011,4210160110,,john f kennedy blvd eastbound lanes,east,schuylkill ave,23rd st,Bicycle 1,39.955387,-75.179969,0.962,1.1797,,,6,Screen Line,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,5068
-75.161898,39.950048,134184,jh,,2017/02/02 00:00:00+00,2017,4210160103,,13th st,north,sansom st,chestnut st,Bicycle 2,39.950048,-75.161898,,1.02,S,N,513,Project,Mixed,Buffered Bike Lane,Philadelphia,Central,5498
-75.17929223,39.9527819900001,71876,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/27 00:00:00+00,2010,4210160103,,chestnut st bridge westbound,east,schuylkill ave,23rd st,Bicycle 1,39.95278199,-75.17929223,0.968,1.1797,,,71,Screen Line,Mixed,Bike Lane,Philadelphia,Central,5592
-75.17997,39.9512800000001,71879,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/04/21 00:00:00+00,2011,4210160103,,walnut st bridge,west,schuylkill ave,23rd st,Bicycle 1,39.95128,-75.17997,1.012,1.1797,,,1016,Screen Line,Mixed,Bike Lane,Philadelphia,Central,5595
-75.219982,39.928567,78737,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/09 00:00:00+00,2011,4210160110,,58th st northbound lane,north,elmwood ave,lindbergh blvd,Bicycle 1,39.928567,-75.219982,0.93,1.1797,,,9,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,6299
-75.1002589999999,39.981547,78733,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/07 00:00:00+00,2011,4210160109,,allegheny ave eastbound lane,east,richmond st,bath st,Bicycle 1,39.981547,-75.100259,0.93,1.1797,,,9,Project,Low Volume,Bike Lane,Philadelphia,River Wards,15449
-75.214489,39.9331680000001,78725,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/09 00:00:00+00,2011,4210160110,,harley ave northbound lane,north,lindbergh blvd,53rd st,Bicycle 1,39.933168,-75.214489,0.93,1.1797,,,4,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,15958
-75.085046,39.9818470000001,78730,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/07 00:00:00+00,2011,4210160109,,delaware ave southbound lane,south,venango st,castor ave,Bicycle 1,39.981847,-75.085046,0.93,1.1797,,,7,Project,Low Volume,Mixed Traffic,Philadelphia,River Wards,16043
-75.214478,39.933137,78726,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/09 00:00:00+00,2011,4210160110,,harley ave southbound lane,south,lindbergh blvd,53rd st,Bicycle 1,39.933137,-75.214478,0.93,1.1797,,,6,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,16503
-75.100195,39.9815760000001,78734,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/07 00:00:00+00,2011,4210160109,,allegheny ave westbound lane,west,richmond st,bath st,Bicycle 1,39.981576,-75.100195,0.93,1.1797,,,9,Project,Low Volume,Bike Lane,Philadelphia,River Wards,20616
-75.180109,39.944958,71597,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/20 00:00:00+00,2010,4210160103,,grays ferry ave,south,bainbridge st,south st,Bicycle 1,39.944958,-75.180109,0.968,1.1797,,,232,Screen Line,Mixed,Mixed Traffic,Philadelphia,Central,24263
-75.16409,39.9293280000001,79141,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/06 00:00:00+00,2011,4210160112,,passyunk ave,north,12th st,tasker st,Bicycle 1,39.929328,-75.16409,0.9,1.1797,,,149,Project,Mixed,Mixed Traffic,Philadelphia,South,25580
-75.1676629999999,39.9379420000001,79159,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/06 00:00:00+00,2011,4210160112,,washington ave eastbound lanes,east,15th st,pa 291 broad st,Bicycle 1,39.937942,-75.167663,0.9,1.1797,,,101,Project,Low Volume,Bike Lane,Philadelphia,South,25597
-75.142724,39.924268,79144,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/07/01 00:00:00+00,2011,4210160112,,pier 70 blvd eastbound lanes,east,christopher columbus blvd,home depot parking entrance,Bicycle 1,39.924268,-75.142724,0.9,1.1797,,,26,Project,Low Volume,Mixed Traffic,Philadelphia,South,26190
-75.185822,39.936,79148,jh,"Center only. By direction, please.",2011/06/29 00:00:00+00,2011,4210160112,,25th st northbound lanes,north,reed st,wharton st,Bicycle 1,39.936,-75.185822,0.9,1.1797,,,42,Project,Low Volume,Mixed Traffic,Philadelphia,South,26191
-75.185897,39.9360120000001,79149,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/29 00:00:00+00,2011,4210160112,,25th st southbound lanes,south,reed st,wharton st,Bicycle 1,39.936012,-75.185897,0.9,1.1797,,,42,Project,Low Volume,Mixed Traffic,Philadelphia,South,26192
-75.15466,39.935284,79155,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/29 00:00:00+00,2011,4210160112,,washington ave eastbound lanes,east,7th st,6th st,Bicycle 1,39.935284,-75.15466,0.888,1.1797,,,127,Project,Mixed,Bike Lane,Philadelphia,South,26634
-75.1546059999999,39.935371,79156,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/07/01 00:00:00+00,2011,4210160112,,washington ave westbound lanes,west,7th st,6th st,Bicycle 1,39.935371,-75.154606,0.9,1.1797,,,110,Project,Mixed,Bike Lane,Philadelphia,South,26635
-75.420853,40.1052350000001,78856,jh,,2011/06/15 00:00:00+00,2011,4209179136,,s trooper rd northbound lane,north,pa 23 port kennedy rd,railroad overpass,Bicycle 1,40.105235,-75.420853,0.888,1.1797,,,87,Project,Recreation,Mixed Traffic,Montgomery,Upper Merion Township,26887
-75.420939,40.1052270000001,78857,jh,,2011/06/15 00:00:00+00,2011,4209179136,,s trooper rd southbound lane,south,pa 23 port kennedy rd,railroad overpass,Bicycle 1,40.105227,-75.420939,0.888,1.1797,,,78,Project,Recreation,Mixed Traffic,Montgomery,Upper Merion Township,26888
-75.175576,39.896847,79125,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/30 00:00:00+00,2011,4210160105,,broad st northbound lanes,north,crescent dr,league island blvd,Bicycle 1,39.896847,-75.175576,0.852,1.1797,,,13,Project,Low Volume,Mixed Traffic,Philadelphia,Lower South,27030
-75.16533,39.9119250000001,79129,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/30 00:00:00+00,2011,4210160112,,10th st northbound lanes,north,packer ave,bigler st,Bicycle 1,39.911925,-75.16533,0.9,1.1797,,,29,Project,Low Volume,Mixed Traffic,Philadelphia,South,27033
-75.165426,39.9119620000001,79130,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/30 00:00:00+00,2011,4210160112,,10th st southbound lanes,south,packer ave,bigler st,Bicycle 1,39.911962,-75.165426,0.9,1.1797,,,14,Project,Low Volume,Striped Shoulder,Philadelphia,South,27034
-75.174245,39.9249330000001,79137,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/29 00:00:00+00,2011,4210160112,,snyder ave eastbound lanes,east,17th st,chadwick st,Bicycle 1,39.924933,-75.174245,0.9,1.1797,,,60,Project,Mixed,Bike Lane,Philadelphia,South,27476
-75.174235,39.9249840000001,79138,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/29 00:00:00+00,2011,4210160112,,snyder ave westbound lanes,west,17th st,chadwick st,Bicycle 1,39.924984,-75.174235,0.9,1.1797,,,40,Project,Mixed,Bike Lane,Philadelphia,South,27477
-75.2333879999999,39.9377400000001,79362,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/28 00:00:00+00,2011,4210160110,,59th st northbound lane,north,beaumont ave,cobbs creek parkway,Bicycle 1,39.93774,-75.233388,0.9,1.1797,,,9,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,27967
-75.233444,39.937711,79363,jh,Seasonal factor are calculated from 2015 permanent station data.   Monday July 4: Independence Day Holiday,2011/06/28 00:00:00+00,2011,4210160110,,59th st southbound lane,south,beaumont ave,cobbs creek parkway,Bicycle 1,39.937711,-75.233444,0.9,1.1797,,,7,Project,Low Volume,Mixed Traffic,Philadelphia,University - Southwest,27968
-75.420359,40.1103430000001,78839,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/15 00:00:00+00,2011,4209183696,,schuylkill river trail eastbound,east,trail to betzwood bridge,us 422 overpass,Bicycle 1,40.110343,-75.420359,0.93,1.1797,,,57,Project,Recreation,Multiuse Trail,Montgomery,West Norriton Township,28185
-75.420359,40.1104050000001,78840,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/15 00:00:00+00,2011,4209183696,,schuylkill river trail westbound,west,trail to betzwood bridge,us 422 overpass,Bicycle 1,40.110405,-75.420359,0.93,1.1797,,,76,Project,Recreation,Multiuse Trail,Montgomery,West Norriton Township,28186
-75.4201879999999,40.1083980000001,78841,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/15 00:00:00+00,2011,4209183696,,betzwood bridge bikeway northbound,north,railroad underpass,county line rd connector underpass,Bicycle 1,40.108398,-75.420188,0.93,1.1797,,,83,Project,Recreation,Prot. Bike Lane,Montgomery,West Norriton Township,28187
-75.42022,40.1083980000001,78842,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/06/15 00:00:00+00,2011,4209183696,,betzwood bridge bikeway southbound,south,railroad underpass,county line rd connector underpass,Bicycle 1,40.108398,-75.42022,0.93,1.1797,,,78,Project,Recreation,Prot. Bike Lane,Montgomery,West Norriton Township,28188
-75.1622599999999,39.95865,70618,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/08/26 00:00:00+00,2010,4210160103,611,broad st southbound lanes,south,vine st,callowhill st,Bicycle 1,39.95865,-75.16226,0.888,1.1797,,,269,Project,Mixed,Mixed Traffic,Philadelphia,Central,28952
-75.174336,39.9608230000001,70619,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/08/26 00:00:00+00,2010,4210160103,,ben franklin pkwy inner la northbound,north,21st st,22nd st,Bicycle 1,39.960823,-75.174336,0.888,1.1797,,,269,Project,Mixed,Bike Lane,Philadelphia,Central,28961
-75.1744439999999,39.9607,70620,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/08/26 00:00:00+00,2010,4210160103,,ben franklin pkwy inner la southbound,south,21st st,22nd st,Bicycle 1,39.9607,-75.174444,0.888,1.1797,,,163,Project,Mixed,Bike Lane,Philadelphia,Central,29058
-75.1773939999999,39.9506010000001,70611,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/08/12 00:00:00+00,2010,4210160103,,22nd st,north,walnut st,locust st,Bicycle 1,39.950601,-75.177394,0.888,1.1797,,,696,Project,Mixed,Bike Lane,Philadelphia,Central,30244
-75.178252,39.9467680000001,70612,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/08/12 00:00:00+00,2010,4210160103,,22nd st,north,pine st,lombard st,Bicycle 1,39.946768,-75.178252,0.888,1.1797,,,598,Project,Mixed,Bike Lane,Philadelphia,Central,30245
-75.14834,39.95311,70613,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/02 00:00:00+00,2010,4210160103,,5th st,north,arch st,race st,Bicycle 1,39.95311,-75.14834,0.949,1.1797,,,348,Project,Mixed,Bike Lane,Philadelphia,Central,30246
-75.14983,39.95336,70614,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/02 00:00:00+00,2010,4210160103,,6th st,south,arch st,race st,Bicycle 1,39.95336,-75.14983,0.949,1.1797,,,335,Project,Mixed,Bike Lane,Philadelphia,Central,30247
-75.1643589999999,39.9485280000001,70615,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/08/26 00:00:00+00,2010,4210160103,291,broad st northbound lanes,north,locust st,walnut st,Bicycle 1,39.948528,-75.164359,0.888,1.1797,,,604,Project,Mixed,Mixed Traffic,Philadelphia,Central,30248
-75.16453,39.9485280000001,70616,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/11/30 00:00:00+00,2010,4210160103,291,broad st southbound lanes,south,locust st,walnut st,Bicycle 1,39.948528,-75.16453,1.028,1.1797,,,261,Project,Mixed,Mixed Traffic,Philadelphia,Central,30249
-75.1621479999999,39.958644,70617,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/12/15 00:00:00+00,2010,4210160103,611,broad st northbound lanes,north,vine st,callowhill st,Bicycle 1,39.958644,-75.162148,1.028,1.1797,,,74,Project,Mixed,Mixed Traffic,Philadelphia,Central,30250
-75.098306,39.9794440000001,137032,permanent station,,2016/11/15 00:00:00+00,2016,4210160109,,port richmond trail,both,bath st,delaware ave,Bicycle 3,39.979444,-75.098306,,1,E,W,51,Permanent,Low Volume,Multiuse Trail,Philadelphia,River Wards,30289
-75.2149929999999,39.983553,79206,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/08/17 00:00:00+00,2011,4210160106,,belmont ave northbound sidepath + lane,north,lansdowne dr,states dr,Bicycle 1,39.983553,-75.214993,0.888,1.1797,,,37,Project,Mixed,Sidepath,Philadelphia,West Park,30451
-75.2150789999999,39.9835120000001,79207,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/08/17 00:00:00+00,2011,4210160106,,belmont ave southbound sidepath + lane,south,lansdowne dr,states dr,Bicycle 1,39.983512,-75.215079,0.888,1.1797,,,27,Project,Mixed,Sidepath,Philadelphia,West Park,30452
-75.28665,40.0743140000001,137045,permanent station,,2016/08/15 00:00:00+00,2016,4209184624,,schuylkill river trail,both,lee st,station ave,Bicycle 3,40.074314,-75.28665,,1,W,E,1057,Permanent,Mixed,Multiuse Trail,Montgomery,Whitemarsh Township,30481
-75.28665,40.0743140000001,137046,permanent station,,2016/09/15 00:00:00+00,2016,4209184624,,schuylkill river trail,both,lee st,station ave,Bicycle 3,40.074314,-75.28665,,1,W,E,768,Permanent,Mixed,Multiuse Trail,Montgomery,Whitemarsh Township,30494
-75.0991759999999,40.01354,79186,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/13 00:00:00+00,2011,4210160101,,cayuga st eastbound lanes,east,"""m"" st",castor ave,Bicycle 1,40.01354,-75.099176,0.9,1.1797,,,34,Project,Low Volume,Bike Lane,Philadelphia,North,30614
-75.234048,39.9952710000001,79198,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/20 00:00:00+00,2011,4210160106,,54th st northbound lanes,north,overbrook ave,us 1 city ave,Bicycle 1,39.995271,-75.234048,0.9,1.1797,,,6,Project,Low Volume,Bike Lane,Philadelphia,West Park,30836
-75.234134,39.9952710000001,79199,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/20 00:00:00+00,2011,4210160106,,54th st southbound lanes,south,overbrook ave,us 1 city ave,Bicycle 1,39.995271,-75.234134,0.9,1.1797,,,7,Project,Low Volume,Bike Lane,Philadelphia,West Park,30837
-75.28665,40.0743140000001,137047,permanent station,,2016/10/15 00:00:00+00,2016,4209184624,,schuylkill river trail,both,lee st,station ave,Bicycle 3,40.074314,-75.28665,,1,W,E,669,Permanent,Mixed,Multiuse Trail,Montgomery,Whitemarsh Township,31222
-75.232943,39.9918190000001,79194,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/20 00:00:00+00,2011,4210160106,,wynnefield ave eastbound lanes,east,54th st,georges la,Bicycle 1,39.991819,-75.232943,0.9,1.1797,,,1,Project,Low Volume,Mixed Traffic,Philadelphia,West Park,31225
-75.28665,40.0743140000001,137048,permanent station,,2016/11/15 00:00:00+00,2016,4209184624,,schuylkill river trail,both,lee st,station ave,Bicycle 3,40.074314,-75.28665,,1,W,E,495,Permanent,Mixed,Multiuse Trail,Montgomery,Whitemarsh Township,31226
-75.2181209999999,39.9949090000001,79202,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/08/18 00:00:00+00,2011,4210160106,,belmont ave northbound lanes,north,parkside ave,monument rd,Bicycle 1,39.994909,-75.218121,0.888,1.1797,,,12,Project,Low Volume,Mixed Traffic,Philadelphia,West Park,31240
-75.1635429999999,39.9492520000001,71561,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/30 00:00:00+00,2010,4210160103,,walnut st,west,pa 291 broad st,juniper st,Bicycle 1,39.949252,-75.163543,0.968,1.1797,,,449,Project,Low Volume,Mixed Traffic,Philadelphia,Central,31276
-75.17997,39.9512800000001,71562,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/09/23 00:00:00+00,2010,4210160103,,walnut st bridge,west,schuylkill ave,23rd st,Bicycle 1,39.95128,-75.17997,0.84,1.1797,,,1451,Project,Mixed,Bike Lane,Philadelphia,Central,31294
-75.09917,40.0135970000001,79187,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/13 00:00:00+00,2011,4210160101,,cayuga st westbound lanes,west,"""m"" st",castor ave,Bicycle 1,40.013597,-75.09917,0.9,1.1797,,,15,Project,Low Volume,Bike Lane,Philadelphia,North,31316
-75.116562,39.9968690000001,79182,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/07/13 00:00:00+00,2011,4210160101,,allegheny ave eastbound lanes,east,"""f"" st","""g"" st",Bicycle 1,39.996869,-75.116562,0.9,1.1797,,,112,Project,Mixed,Bike Lane,Philadelphia,North,31567
-75.150797,39.9415980000001,71761,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/11/11 00:00:00+00,2010,4210160103,,5th st,north,bainbridge st,south st,Bicycle 1,39.941598,-75.150797,1.001,1.1797,,,464,Screen Line,Mixed,Mixed Traffic,Philadelphia,Central,32296
-75.1492259999999,39.9413880000001,71764,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/11/11 00:00:00+00,2010,4210160103,,4th st,south,bainbridge st,south st,Bicycle 1,39.941388,-75.149226,1.001,1.1797,,,777,Screen Line,Mixed,Mixed Traffic,Philadelphia,Central,32380
-75.1476699999999,39.9411700000001,71767,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/11/11 00:00:00+00,2010,4210160103,,3rd st,north,bainbridge st,south st,Bicycle 1,39.94117,-75.14767,1.001,1.1797,,,705,Screen Line,Mixed,Mixed Traffic,Philadelphia,Central,33643
-75.145744,39.940792,71770,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/11/11 00:00:00+00,2010,4210160103,,2nd st,south,south st,bainbridge st,Bicycle 1,39.940792,-75.145744,1.001,1.1797,,,387,Screen Line,Mixed,Mixed Traffic,Philadelphia,Central,33646
-75.142386,39.9406030000001,71777,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/03/23 00:00:00+00,2011,4210160103,,christopher columbus blvd southbound lanes,south,kenilworth st,I 95 delaware expwy nb on ramp,Bicycle 1,39.940603,-75.142386,1.059,1.1797,,,158,Screen Line,Recreation,Bike Lane,Philadelphia,Central,33980
-75.144119,39.9406890000001,71773,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/11/11 00:00:00+00,2010,4210160103,,front st,north,bainbridge st,south st,Bicycle 1,39.940689,-75.144119,1.001,1.1797,,,354,Screen Line,Low Volume,Mixed Traffic,Philadelphia,Central,34746
-75.1421339999999,39.9405620000001,71776,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2011/03/23 00:00:00+00,2011,4210160103,,christopher columbus blvd northbound lanes,north,kenilworth st,I 95 delaware expwy nb on ramp,Bicycle 1,39.940562,-75.142134,1.059,1.1797,,,353,Screen Line,Recreation,Bike Lane,Philadelphia,Central,34840
-75.163404,39.9578210000001,71548,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/14 00:00:00+00,2010,4210160103,,vine st eastbound,east,15th st,pa 611 broad st,Bicycle 1,39.957821,-75.163404,0.968,1.1797,,,307,Project,Mixed,Mixed Traffic,Philadelphia,Central,36686
-75.163286,39.9582,71549,jh,Seasonal factor are calculated from 2015 permanent station data.   ,2010/10/14 00:00:00+00,2010,4210160103,,vine st westbound,west,15th st,pa 611 broad st,Bicycle 1,39.9582,-75.163286,0.968,1.1797,,,65,Project,Mixed,Mixed Traffic,Philadelphia,Central,37075
